TERYT Gminy,Gmina,Powiat,Województwo,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów,NAWROCKI Karol Tadeusz,TRZASKOWSKI Rafał Kazimierz
20101,m. Bolesławiec,bolesławiecki,dolnośląskie,24,24,27644.0,27615.0,8805.0,18838.0,9.0,18847.0,44.0,431.0,9.0,0.0,0.0,0.0,0.0,9.0,18847.0,8.0,0.0,18847.0,146.0,77.0,69.0,0.0,18701.0,7816.0,10885.0
20102,gm. Bolesławiec,bolesławiecki,dolnośląskie,21,21,11195.0,11354.0,3372.0,7823.0,2.0,7825.0,6.0,136.0,1.0,0.0,0.0,0.0,0.0,1.0,7824.0,1.0,1.0,7823.0,63.0,34.0,29.0,0.0,7760.0,4075.0,3685.0
20103,gm. Gromadka,bolesławiecki,dolnośląskie,6,6,3927.0,3977.0,1471.0,2456.0,0.0,2456.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.0,0.0,0.0,2456.0,16.0,13.0,3.0,0.0,2440.0,1568.0,872.0
20104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,14,14,11016.0,11121.0,4298.0,6718.0,3.0,6721.0,11.0,72.0,3.0,0.0,0.0,0.0,0.0,3.0,6720.0,3.0,0.0,6720.0,51.0,27.0,24.0,0.0,6669.0,4206.0,2463.0
20105,gm. Osiecznica,bolesławiecki,dolnośląskie,7,7,5004.0,5154.0,1865.0,3139.0,0.0,3139.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.0,0.0,0.0,3139.0,37.0,16.0,21.0,0.0,3102.0,1722.0,1380.0
20106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,10,10,6256.0,6306.0,2238.0,4018.0,8.0,4026.0,2.0,39.0,8.0,1.0,0.0,0.0,0.0,7.0,4025.0,7.0,0.0,4025.0,34.0,11.0,23.0,0.0,3991.0,2330.0,1661.0
20201,m. Bielawa,dzierżoniowski,dolnośląskie,22,22,21086.0,21200.0,7645.0,13440.0,6.0,13446.0,40.0,211.0,6.0,3.0,0.0,0.0,0.0,3.0,13443.0,3.0,1.0,13442.0,110.0,49.0,61.0,0.0,13332.0,6232.0,7100.0
20202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,23,23,22787.0,22989.0,7341.0,15446.0,8.0,15454.0,30.0,206.0,8.0,0.0,0.0,0.0,0.0,8.0,15454.0,8.0,0.0,15454.0,120.0,74.0,46.0,0.0,15334.0,6709.0,8625.0
20203,gm. Pieszyce,dzierżoniowski,dolnośląskie,11,11,6810.0,6790.0,2618.0,4192.0,1.0,4193.0,15.0,87.0,1.0,0.0,0.0,0.0,0.0,1.0,4193.0,1.0,0.0,4193.0,56.0,23.0,33.0,0.0,4137.0,2181.0,1956.0
20204,m. Piława Górna,dzierżoniowski,dolnośląskie,3,3,4447.0,4467.0,1795.0,2652.0,4.0,2656.0,3.0,27.0,3.0,0.0,0.0,0.0,0.0,3.0,2655.0,3.0,0.0,2655.0,16.0,5.0,11.0,0.0,2639.0,1429.0,1210.0
20205,gm. Dzierżoniów,dzierżoniowski,dolnośląskie,15,15,6886.0,6982.0,2105.0,4781.0,0.0,4781.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4781.0,0.0,0.0,4781.0,65.0,38.0,27.0,0.0,4716.0,2627.0,2089.0
20206,gm. Łagiewniki,dzierżoniowski,dolnośląskie,10,10,5493.0,5558.0,1756.0,3737.0,0.0,3737.0,5.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,3737.0,0.0,3.0,3734.0,37.0,18.0,19.0,0.0,3697.0,2358.0,1339.0
20207,gm. Niemcza,dzierżoniowski,dolnośląskie,7,7,3919.0,3942.0,1555.0,2364.0,0.0,2364.0,11.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2364.0,0.0,0.0,2364.0,22.0,12.0,10.0,0.0,2342.0,1291.0,1051.0
20301,m. Głogów,głogowski,dolnośląskie,36,36,46229.0,45940.0,14531.0,31698.0,11.0,31709.0,34.0,724.0,11.0,0.0,0.0,0.0,0.0,11.0,31708.0,11.0,0.0,31708.0,259.0,138.0,121.0,0.0,31449.0,15143.0,16306.0
20302,gm. Głogów,głogowski,dolnośląskie,4,4,5265.0,5329.0,1356.0,3909.0,2.0,3911.0,2.0,57.0,2.0,0.0,0.0,0.0,0.0,2.0,3911.0,2.0,1.0,3910.0,32.0,16.0,16.0,0.0,3878.0,2186.0,1692.0
20303,gm. Jerzmanowa,głogowski,dolnośląskie,7,7,4243.0,4325.0,976.0,3267.0,0.0,3267.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,3267.0,0.0,0.0,3267.0,35.0,20.0,15.0,0.0,3232.0,1722.0,1510.0
20304,gm. Kotla,głogowski,dolnośląskie,5,5,3286.0,3316.0,1102.0,2184.0,0.0,2184.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.0,0.0,0.0,2184.0,22.0,12.0,10.0,0.0,2162.0,1388.0,774.0
20305,gm. Pęcław,głogowski,dolnośląskie,3,3,1604.0,1655.0,533.0,1071.0,0.0,1071.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,0.0,0.0,1071.0,4.0,2.0,2.0,0.0,1067.0,751.0,316.0
20306,gm. Żukowice,głogowski,dolnośląskie,2,2,2494.0,2523.0,841.0,1653.0,0.0,1653.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1653.0,0.0,0.0,1653.0,15.0,5.0,10.0,0.0,1638.0,1033.0,605.0
20401,gm. Góra,górowski,dolnośląskie,13,13,14019.0,13889.0,5487.0,8532.0,6.0,8538.0,7.0,135.0,6.0,0.0,0.0,0.0,0.0,6.0,8538.0,6.0,1.0,8537.0,59.0,38.0,21.0,0.0,8478.0,4476.0,4002.0
20402,gm. Jemielno,górowski,dolnośląskie,4,4,2133.0,2148.0,803.0,1330.0,1.0,1331.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,1331.0,1.0,0.0,1331.0,9.0,6.0,3.0,0.0,1322.0,954.0,368.0
20403,gm. Niechlów,górowski,dolnośląskie,9,9,3460.0,3476.0,1366.0,2094.0,0.0,2094.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.0,0.0,0.0,2094.0,26.0,14.0,12.0,0.0,2068.0,1488.0,580.0
20404,gm. Wąsosz,górowski,dolnośląskie,9,9,5234.0,5268.0,1982.0,3252.0,2.0,3254.0,15.0,31.0,2.0,0.0,0.0,0.0,0.0,2.0,3253.0,2.0,0.0,3253.0,27.0,14.0,13.0,0.0,3226.0,1921.0,1305.0
20501,m. Jawor,jaworski,dolnośląskie,14,14,16062.0,15957.0,5405.0,10656.0,8.0,10664.0,24.0,261.0,8.0,1.0,0.0,0.0,0.0,7.0,10664.0,7.0,1.0,10663.0,91.0,40.0,51.0,0.0,10572.0,5485.0,5087.0
20502,gm. Bolków,jaworski,dolnośląskie,14,14,7481.0,7484.0,2915.0,4566.0,2.0,4568.0,24.0,68.0,2.0,0.0,0.0,0.0,0.0,2.0,4568.0,2.0,0.0,4568.0,50.0,25.0,25.0,0.0,4518.0,2335.0,2183.0
20503,gm. Męcinka,jaworski,dolnośląskie,10,10,3832.0,3922.0,1185.0,2647.0,1.0,2648.0,2.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,2648.0,1.0,0.0,2648.0,19.0,8.0,11.0,0.0,2629.0,1682.0,947.0
20504,gm. Mściwojów,jaworski,dolnośląskie,3,3,2935.0,2958.0,1017.0,1918.0,0.0,1918.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,0.0,0.0,1918.0,14.0,6.0,8.0,0.0,1904.0,1065.0,839.0
20505,gm. Paszowice,jaworski,dolnośląskie,3,3,3127.0,3183.0,1010.0,2117.0,3.0,2120.0,6.0,20.0,3.0,0.0,0.0,0.0,0.0,3.0,2120.0,3.0,0.0,2120.0,18.0,9.0,9.0,0.0,2102.0,1249.0,853.0
20506,gm. Wądroże Wielkie,jaworski,dolnośląskie,3,3,2953.0,2956.0,1014.0,1939.0,0.0,1939.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1939.0,0.0,0.0,1939.0,15.0,6.0,9.0,0.0,1924.0,1086.0,838.0
20601,m. Karpacz,karkonoski,dolnośląskie,6,6,5225.0,4744.0,1708.0,3517.0,3.0,3520.0,11.0,821.0,3.0,0.0,0.0,0.0,0.0,3.0,3520.0,3.0,0.0,3520.0,23.0,14.0,9.0,0.0,3497.0,1062.0,2435.0
20602,m. Kowary,karkonoski,dolnośląskie,10,10,7622.0,7495.0,2852.0,4770.0,5.0,4775.0,11.0,147.0,5.0,0.0,0.0,0.0,0.0,5.0,4775.0,5.0,0.0,4775.0,44.0,18.0,26.0,0.0,4731.0,1782.0,2949.0
20603,m. Piechowice,karkonoski,dolnośląskie,4,4,4375.0,4495.0,1333.0,3042.0,0.0,3042.0,22.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,0.0,0.0,3042.0,30.0,20.0,10.0,0.0,3012.0,1147.0,1865.0
20604,m. Szklarska Poręba,karkonoski,dolnośląskie,9,9,5638.0,5619.0,1544.0,4094.0,1.0,4095.0,10.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.0,0.0,0.0,4094.0,30.0,14.0,16.0,0.0,4064.0,1431.0,2633.0
20605,gm. Janowice Wielkie,karkonoski,dolnośląskie,6,6,3171.0,3298.0,961.0,2210.0,0.0,2210.0,9.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,0.0,2210.0,20.0,7.0,13.0,0.0,2190.0,872.0,1318.0
20606,gm. Jeżów Sudecki,karkonoski,dolnośląskie,5,5,5916.0,5944.0,1825.0,4091.0,0.0,4091.0,3.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,4091.0,0.0,0.0,4091.0,22.0,11.0,11.0,0.0,4069.0,1501.0,2568.0
20607,gm. Mysłakowice,karkonoski,dolnośląskie,8,8,7359.0,7546.0,2313.0,5046.0,0.0,5046.0,10.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,5046.0,0.0,0.0,5046.0,56.0,30.0,26.0,0.0,4990.0,2067.0,2923.0
20608,gm. Podgórzyn,karkonoski,dolnośląskie,7,7,6123.0,6416.0,1771.0,4352.0,4.0,4356.0,10.0,151.0,4.0,0.0,0.0,0.0,0.0,4.0,4355.0,4.0,0.0,4355.0,39.0,21.0,18.0,0.0,4316.0,1512.0,2804.0
20609,gm. Stara Kamienica,karkonoski,dolnośląskie,5,5,3894.0,3992.0,1355.0,2539.0,0.0,2539.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2539.0,0.0,0.0,2539.0,23.0,11.0,12.0,0.0,2516.0,1142.0,1374.0
20701,m. Kamienna Góra,kamiennogórski,dolnośląskie,10,10,13319.0,13085.0,5028.0,8291.0,3.0,8294.0,21.0,176.0,3.0,0.0,0.0,0.0,0.0,3.0,8295.0,3.0,1.0,8294.0,72.0,42.0,30.0,0.0,8222.0,3742.0,4480.0
20702,gm. Kamienna Góra,kamiennogórski,dolnośląskie,15,15,6574.0,6677.0,2032.0,4542.0,2.0,4544.0,7.0,116.0,2.0,0.0,0.0,0.0,0.0,2.0,4544.0,2.0,0.0,4544.0,51.0,33.0,18.0,0.0,4493.0,2331.0,2162.0
20703,gm. Lubawka,kamiennogórski,dolnośląskie,9,9,7926.0,8057.0,2652.0,5274.0,0.0,5274.0,21.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,5274.0,0.0,0.0,5274.0,48.0,21.0,27.0,0.0,5226.0,2351.0,2875.0
20704,gm. Marciszów,kamiennogórski,dolnośląskie,7,7,3282.0,3328.0,1176.0,2106.0,0.0,2106.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.0,0.0,0.0,2106.0,18.0,11.0,7.0,0.0,2088.0,1073.0,1015.0
20801,m. Duszniki-Zdrój,kłodzki,dolnośląskie,4,4,3673.0,3496.0,1116.0,2556.0,0.0,2556.0,8.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,2556.0,0.0,0.0,2556.0,27.0,15.0,12.0,0.0,2529.0,1070.0,1459.0
20802,m. Kłodzko,kłodzki,dolnośląskie,19,19,19108.0,19125.0,6302.0,12806.0,4.0,12810.0,54.0,367.0,4.0,0.0,0.0,0.0,1.0,3.0,12808.0,3.0,0.0,12808.0,130.0,62.0,68.0,0.0,12678.0,5359.0,7319.0
20803,m. Kudowa-Zdrój,kłodzki,dolnośląskie,9,9,7605.0,8128.0,1888.0,5717.0,0.0,5717.0,14.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,5716.0,0.0,0.0,5716.0,38.0,16.0,22.0,0.0,5678.0,2519.0,3159.0
20804,m. Nowa Ruda,kłodzki,dolnośląskie,15,15,15574.0,15267.0,6174.0,9400.0,10.0,9410.0,25.0,204.0,10.0,1.0,0.0,0.0,2.0,7.0,9407.0,7.0,0.0,9407.0,82.0,48.0,34.0,0.0,9325.0,3971.0,5354.0
20805,m. Polanica-Zdrój,kłodzki,dolnośląskie,4,4,5005.0,5581.0,1044.0,3961.0,3.0,3964.0,10.0,846.0,3.0,0.0,0.0,0.0,0.0,3.0,3962.0,3.0,0.0,3962.0,39.0,21.0,18.0,0.0,3923.0,1565.0,2358.0
20806,gm. Bystrzyca Kłodzka,kłodzki,dolnośląskie,20,20,13559.0,13797.0,4723.0,8836.0,2.0,8838.0,31.0,382.0,2.0,0.0,0.0,0.0,0.0,2.0,8838.0,2.0,0.0,8838.0,80.0,42.0,38.0,0.0,8758.0,4467.0,4291.0
20807,gm. Kłodzko,kłodzki,dolnośląskie,19,19,12481.0,12665.0,4457.0,8024.0,2.0,8026.0,11.0,95.0,2.0,1.0,0.0,0.0,0.0,1.0,8025.0,1.0,0.0,8025.0,92.0,48.0,44.0,0.0,7933.0,4474.0,3459.0
20808,gm. Lądek-Zdrój,kłodzki,dolnośląskie,10,10,5934.0,6508.0,1659.0,4274.0,2.0,4276.0,10.0,557.0,2.0,0.0,0.0,0.0,0.0,2.0,4276.0,2.0,0.0,4276.0,36.0,24.0,12.0,0.0,4240.0,2090.0,2150.0
20809,gm. Lewin Kłodzki,kłodzki,dolnośląskie,2,2,1495.0,1632.0,450.0,1045.0,2.0,1047.0,17.0,109.0,2.0,0.0,0.0,0.0,0.0,2.0,1047.0,2.0,0.0,1047.0,5.0,3.0,2.0,0.0,1042.0,537.0,505.0
20810,gm. Międzylesie,kłodzki,dolnośląskie,9,9,5248.0,5435.0,1783.0,3465.0,2.0,3467.0,8.0,158.0,2.0,0.0,0.0,0.0,0.0,2.0,3467.0,2.0,0.0,3467.0,31.0,14.0,17.0,0.0,3436.0,1696.0,1740.0
20811,gm. Nowa Ruda,kłodzki,dolnośląskie,16,16,8433.0,8503.0,3080.0,5353.0,0.0,5353.0,6.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,5353.0,0.0,0.0,5353.0,46.0,19.0,27.0,0.0,5307.0,2596.0,2711.0
20812,gm. Radków,kłodzki,dolnośląskie,10,10,6480.0,6699.0,2394.0,4086.0,0.0,4086.0,10.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,4086.0,0.0,0.0,4086.0,45.0,19.0,26.0,0.0,4041.0,2298.0,1743.0
20813,gm. Stronie Śląskie,kłodzki,dolnośląskie,7,7,5295.0,5457.0,1957.0,3338.0,6.0,3344.0,12.0,182.0,6.0,1.0,0.0,0.0,0.0,5.0,3343.0,5.0,0.0,3343.0,37.0,18.0,19.0,0.0,3306.0,1425.0,1881.0
20814,gm. Szczytna,kłodzki,dolnośląskie,7,7,5224.0,5389.0,1803.0,3421.0,2.0,3423.0,14.0,99.0,2.0,0.0,0.0,0.0,0.0,2.0,3423.0,2.0,0.0,3423.0,30.0,18.0,12.0,0.0,3393.0,1646.0,1747.0
20901,m. Chojnów,legnicki,dolnośląskie,7,7,9161.0,9220.0,3189.0,5972.0,4.0,5976.0,14.0,74.0,4.0,0.0,0.0,0.0,0.0,4.0,5976.0,4.0,1.0,5975.0,37.0,21.0,16.0,0.0,5938.0,3107.0,2831.0
20902,gm. Chojnów,legnicki,dolnośląskie,9,9,6962.0,7103.0,2289.0,4673.0,0.0,4673.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,4673.0,0.0,0.0,4673.0,41.0,20.0,21.0,0.0,4632.0,2865.0,1767.0
20903,gm. Krotoszyce,legnicki,dolnośląskie,6,6,2451.0,2494.0,700.0,1751.0,1.0,1752.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,1752.0,1.0,0.0,1752.0,16.0,9.0,7.0,0.0,1736.0,1057.0,679.0
20904,gm. Kunice,legnicki,dolnośląskie,10,10,5540.0,5691.0,1257.0,4283.0,0.0,4283.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4283.0,0.0,0.0,4283.0,38.0,19.0,19.0,0.0,4245.0,2021.0,2224.0
20905,gm. Legnickie Pole,legnicki,dolnośląskie,9,9,3769.0,3839.0,1013.0,2756.0,0.0,2756.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2756.0,0.0,0.0,2756.0,31.0,19.0,12.0,0.0,2725.0,1643.0,1082.0
20906,gm. Miłkowice,legnicki,dolnośląskie,8,8,5315.0,5476.0,1412.0,3903.0,0.0,3903.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,3903.0,0.0,0.0,3903.0,21.0,10.0,11.0,0.0,3882.0,2119.0,1763.0
20907,gm. Prochowice,legnicki,dolnośląskie,9,9,5339.0,5488.0,1764.0,3575.0,0.0,3575.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3575.0,0.0,0.0,3575.0,33.0,12.0,21.0,0.0,3542.0,2055.0,1487.0
20908,gm. Ruja,legnicki,dolnośląskie,3,3,1933.0,1885.0,828.0,1105.0,0.0,1105.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.0,0.0,0.0,1105.0,11.0,5.0,6.0,0.0,1094.0,732.0,362.0
21001,m. Lubań,lubański,dolnośląskie,16,16,14759.0,14669.0,5109.0,9650.0,7.0,9657.0,15.0,208.0,7.0,1.0,0.0,0.0,0.0,6.0,9654.0,6.0,0.0,9654.0,68.0,35.0,33.0,0.0,9586.0,4022.0,5564.0
21002,m. Świeradów-Zdrój,lubański,dolnośląskie,5,5,3569.0,3760.0,873.0,2696.0,0.0,2696.0,13.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,0.0,0.0,2696.0,18.0,7.0,11.0,0.0,2678.0,1061.0,1617.0
21003,gm. Leśna,lubański,dolnośląskie,10,10,7037.0,7091.0,2751.0,4286.0,0.0,4286.0,11.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,4286.0,0.0,0.0,4286.0,42.0,25.0,17.0,0.0,4244.0,2154.0,2090.0
21004,gm. Lubań,lubański,dolnośląskie,8,8,4846.0,4903.0,1730.0,3116.0,1.0,3117.0,4.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,3117.0,1.0,0.0,3117.0,26.0,14.0,12.0,0.0,3091.0,1525.0,1566.0
21005,gm. Olszyna,lubański,dolnośląskie,5,5,4767.0,4763.0,1826.0,2941.0,4.0,2945.0,7.0,40.0,4.0,2.0,0.0,0.0,0.0,2.0,2943.0,2.0,0.0,2943.0,34.0,19.0,15.0,0.0,2909.0,1388.0,1521.0
21006,gm. Platerówka,lubański,dolnośląskie,2,2,1198.0,1194.0,438.0,760.0,0.0,760.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,760.0,9.0,3.0,6.0,0.0,751.0,451.0,300.0
21007,gm. Siekierczyn,lubański,dolnośląskie,4,4,3782.0,3769.0,1264.0,2518.0,0.0,2518.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,0.0,0.0,2518.0,20.0,10.0,10.0,0.0,2498.0,1285.0,1213.0
21101,m. Lubin,lubiński,dolnośląskie,51,51,50355.0,50051.0,14913.0,35441.0,19.0,35460.0,55.0,1013.0,19.0,0.0,0.0,0.0,0.0,19.0,35457.0,18.0,1.0,35456.0,293.0,176.0,117.0,0.0,35163.0,18416.0,16747.0
21102,gm. Lubin,lubiński,dolnośląskie,18,18,13084.0,13451.0,2880.0,10204.0,0.0,10204.0,11.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,10204.0,0.0,0.0,10204.0,88.0,40.0,48.0,0.0,10116.0,5557.0,4559.0
21103,gm. Rudna,lubiński,dolnośląskie,13,13,5726.0,5799.0,1674.0,4052.0,1.0,4053.0,9.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,4053.0,1.0,0.0,4053.0,34.0,17.0,17.0,0.0,4019.0,2634.0,1385.0
21104,gm. Ścinawa,lubiński,dolnośląskie,12,12,7130.0,7185.0,2273.0,4857.0,1.0,4858.0,15.0,118.0,1.0,0.0,0.0,0.0,0.0,1.0,4858.0,1.0,1.0,4857.0,33.0,16.0,17.0,0.0,4824.0,3282.0,1542.0
21201,gm. Gryfów Śląski,lwówecki,dolnośląskie,11,11,6911.0,6880.0,2617.0,4294.0,0.0,4294.0,11.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4293.0,0.0,0.0,4293.0,40.0,19.0,21.0,0.0,4253.0,2001.0,2252.0
21202,gm. Lubomierz,lwówecki,dolnośląskie,9,9,4358.0,4419.0,1684.0,2674.0,0.0,2674.0,6.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,2674.0,0.0,0.0,2674.0,24.0,10.0,14.0,0.0,2650.0,1371.0,1279.0
21203,gm. Lwówek Śląski,lwówecki,dolnośląskie,17,17,12354.0,12269.0,4498.0,7856.0,0.0,7856.0,26.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,7855.0,0.0,0.0,7855.0,60.0,27.0,33.0,0.0,7795.0,3768.0,4027.0
21204,gm. Mirsk,lwówecki,dolnośląskie,6,6,6342.0,6300.0,2534.0,3808.0,0.0,3808.0,15.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,3808.0,0.0,0.0,3808.0,40.0,17.0,23.0,0.0,3768.0,1780.0,1988.0
21205,gm. Wleń,lwówecki,dolnośląskie,8,8,3181.0,3150.0,1227.0,1954.0,0.0,1954.0,17.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0,0.0,0.0,1954.0,11.0,10.0,1.0,0.0,1943.0,943.0,1000.0
21301,gm. Cieszków,milicki,dolnośląskie,3,3,3507.0,3564.0,1093.0,2414.0,0.0,2414.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2413.0,0.0,0.0,2413.0,29.0,15.0,14.0,0.0,2384.0,1441.0,943.0
21302,gm. Krośnice,milicki,dolnośląskie,6,6,6091.0,6153.0,2163.0,3928.0,0.0,3928.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,3928.0,0.0,0.0,3928.0,29.0,12.0,17.0,0.0,3899.0,2382.0,1517.0
21303,gm. Milicz,milicki,dolnośląskie,28,28,17909.0,17901.0,6133.0,11776.0,0.0,11776.0,17.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,11775.0,0.0,0.0,11775.0,90.0,47.0,43.0,0.0,11685.0,6084.0,5601.0
21401,m. Oleśnica,oleśnicki,dolnośląskie,23,23,26207.0,26621.0,7221.0,18985.0,6.0,18991.0,58.0,311.0,6.0,0.0,0.0,0.0,0.0,6.0,18989.0,6.0,0.0,18989.0,156.0,93.0,63.0,0.0,18833.0,7880.0,10953.0
21402,gm. Bierutów,oleśnicki,dolnośląskie,14,14,7112.0,7146.0,2439.0,4673.0,1.0,4674.0,23.0,88.0,1.0,0.0,0.0,0.0,0.0,1.0,4674.0,1.0,2.0,4672.0,44.0,19.0,25.0,0.0,4628.0,2629.0,1999.0
21403,gm. Dobroszyce,oleśnicki,dolnośląskie,4,4,5354.0,5612.0,1359.0,3995.0,0.0,3995.0,6.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,3995.0,0.0,0.0,3995.0,31.0,18.0,13.0,0.0,3964.0,2086.0,1878.0
21404,gm. Dziadowa Kłoda,oleśnicki,dolnośląskie,3,3,3371.0,3427.0,1197.0,2174.0,0.0,2174.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.0,0.0,0.0,2174.0,14.0,9.0,5.0,0.0,2160.0,1186.0,974.0
21405,gm. Międzybórz,oleśnicki,dolnośląskie,6,6,3809.0,3885.0,1455.0,2354.0,0.0,2354.0,4.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2354.0,0.0,0.0,2354.0,36.0,11.0,25.0,0.0,2318.0,1191.0,1127.0
21406,gm. Oleśnica,oleśnicki,dolnośląskie,11,11,11262.0,11749.0,2992.0,8272.0,0.0,8272.0,8.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,8272.0,0.0,0.0,8272.0,64.0,35.0,29.0,0.0,8208.0,4084.0,4124.0
21407,gm. Syców,oleśnicki,dolnośląskie,14,14,12645.0,12722.0,4136.0,8508.0,4.0,8512.0,7.0,97.0,4.0,0.0,0.0,0.0,0.0,4.0,8511.0,4.0,0.0,8511.0,58.0,30.0,28.0,0.0,8453.0,3603.0,4850.0
21408,gm. Twardogóra,oleśnicki,dolnośląskie,6,6,9553.0,9587.0,3301.0,6252.0,4.0,6256.0,15.0,114.0,4.0,1.0,0.0,0.0,0.0,3.0,6255.0,3.0,0.0,6255.0,62.0,28.0,34.0,0.0,6193.0,3239.0,2954.0
21501,m. Oława,oławski,dolnośląskie,19,19,23720.0,24148.0,6323.0,17398.0,2.0,17400.0,28.0,301.0,2.0,0.0,0.0,0.0,0.0,2.0,17399.0,2.0,0.0,17399.0,127.0,70.0,57.0,0.0,17272.0,7585.0,9687.0
21502,gm. Domaniów,oławski,dolnośląskie,14,14,3897.0,3971.0,1187.0,2710.0,0.0,2710.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2710.0,0.0,0.0,2710.0,22.0,10.0,12.0,0.0,2688.0,1671.0,1017.0
21503,gm. Jelcz-Laskowice,oławski,dolnośląskie,13,13,16897.0,17484.0,4360.0,12537.0,11.0,12548.0,12.0,124.0,11.0,0.0,0.0,0.0,0.0,11.0,12547.0,11.0,3.0,12544.0,89.0,48.0,41.0,0.0,12455.0,6373.0,6082.0
